epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85114,4.13889,7.08427,3.88581,2.79183,0,0,0,0,0,0,0,0,0,4.71242,8.30157,4.36395,2.20548,0,0,0,0
2,6.94023,4.35873,7.49884,3.93287,2.80791,0,0,0,0,0,0,0,0,0,4.59752,7.92445,4.34162,2.16843,0,1.40071e-05,1.40071e-05,1.40071e-05
3,10.6278,4.09932,6.51127,3.85212,2.66041,0,0,0,0,0,0,0,0,0,4.24035,7.2545,4.21754,2.10883,0,2.74482e-05,2.74482e-05,2.74482e-05
4,14.0405,3.34749,6.00665,3.90338,2.18297,0,0,0,0,0,0,0,0,0,3.8549,6.34431,4.20011,1.9797,0,4.03235e-05,4.03235e-05,4.03235e-05
5,17.0783,3.08317,5.15733,3.8141,2.08922,0,0,0,0,0,0,0,0,0,3.17007,5.98858,4.0827,1.91898,0,5.26329e-05,5.26329e-05,5.26329e-05
6,20.2077,3.06894,5.0311,3.70844,2.06961,0,0.00163,0.05556,0.00435,0.00044,0,0,0,0,2.89361,5.55501,4.0154,1.79654,0,6.43764e-05,6.43764e-05,6.43764e-05
7,23.3699,2.6854,4.86531,3.71756,1.81829,0,0.00344,0.11111,0.02144,0.00486,0,0,0,0,2.69179,5.30383,3.90264,1.68658,0,7.55541e-05,7.55541e-05,7.55541e-05
8,26.584,2.51881,4.63675,3.48085,1.72232,0,0.00905,0.27778,0.21294,0.05856,0,0,0,0,2.66225,5.11241,3.816,1.50278,0,8.61658e-05,8.61658e-05,8.61658e-05
9,29.6067,2.51714,4.7684,3.47581,1.62635,0,0.01235,0.38889,0.22107,0.08389,0.00179,0.16667,0.00796,0.0008,2.7036,4.92573,3.71589,1.39499,0,9.62117e-05,9.62117e-05,9.62117e-05
10,32.5404,2.33208,4.60454,3.26267,1.58842,0,0.01515,0.44444,0.31332,0.11544,0.00175,0.16667,0.01314,0.00263,2.65021,4.89427,3.68281,1.38582,0,0.000105692,0.000105692,0.000105692
11,35.4884,2.29559,4.52279,3.1876,1.51897,0,0.01438,0.38889,0.32484,0.11879,0.00324,0.33333,0.05054,0.01345,2.6552,4.85199,3.66351,1.40965,0,0.000114606,0.000114606,0.000114606
12,38.4615,2.22817,4.30217,3.17793,1.42301,0,0.01003,0.27778,0.20499,0.08368,0.00304,0.33333,0.05103,0.01531,2.66037,4.84409,3.64635,1.44247,0,0.000122954,0.000122954,0.000122954
13,41.3349,2.1523,4.03542,3.00094,1.47395,0,0.01074,0.27778,0.21812,0.08061,0.00287,0.33333,0.02233,0.0067,2.5569,4.81692,3.57885,1.40061,0,0.000130736,0.000130736,0.000130736
