epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8558,3.72943,7.26462,3.59489,3.27689,0,0.00908,0.38958,0.09196,0.05007,0.00056,0.01858,0.00029,3e-05,2.86398,8.77157,3.21677,2.59314,0,2.858e-05,2.858e-05,2.858e-05
2,35.5437,3.50626,6.37279,3.49061,2.96639,0,0.01037,0.47168,0.04698,0.0175,0.00193,0.08862,0.00109,0.00017,2.84072,5.99981,3.24046,2.1006,0,7.00353e-05,7.00353e-05,7.00353e-05
3,52.4082,3.11064,5.44676,3.40322,2.41457,0,0.00969,0.43105,0.05224,0.01362,0.0008,0.02941,0.00045,7e-05,3.29142,7.23972,3.17613,2.01285,0,0.000109793,0.000109793,0.000109793
4,68.9472,2.84171,4.84418,3.28185,2.10937,0,0.01246,0.53722,0.04366,0.01116,0.00118,0.03715,0.00064,0.00011,3.38937,5.79953,3.213,1.89773,0,0.000147853,0.000147853,0.000147853
5,85.7864,2.82056,4.45752,3.07211,1.95856,0,0.01512,0.6301,0.08331,0.02889,0.00198,0.07656,0.00127,0.00031,2.87041,4.5238,3.14013,1.4529,0,0.000184215,0.000184215,0.000184215
6,102.231,2.59389,4.30922,2.87512,1.85842,0,0.0158,0.67157,0.14188,0.0515,0.00298,0.13887,0.00229,0.00045,2.81927,4.53513,3.1032,1.58467,0,0.00021888,0.00021888,0.00021888
7,118.908,2.49479,4.15894,2.68446,1.79761,0,0.0155,0.63764,0.19475,0.08136,0.0028,0.10391,0.0028,0.00057,2.54703,4.61775,2.96611,1.60945,0,0.000251847,0.000251847,0.000251847
8,135.438,2.47933,4.12569,2.62074,1.78524,0,0.01493,0.63113,0.19277,0.07719,0.00279,0.11494,0.00348,0.00074,2.59178,4.84173,2.88862,1.83193,0,0.000283116,0.000283116,0.000283116
9,151.799,2.46688,4.03986,2.53964,1.80782,0,0.02441,0.60823,0.21695,0.09927,0.00275,0.10494,0.00427,0.0011,2.42835,4.52472,2.68805,1.95,0,0.000312688,0.000312688,0.000312688
10,168.248,2.31725,3.88572,2.42536,1.70596,0,0.06287,0.57314,0.20514,0.09946,0.00417,0.17499,0.00486,0.00099,2.38371,4.44917,2.63222,1.96053,0,0.000340562,0.000340562,0.000340562
11,184.912,2.32186,3.87464,2.4022,1.72539,0,0.06012,0.62339,0.19597,0.08215,0.00882,0.12906,0.00523,0.00142,2.19867,4.29583,2.53643,2.0215,0,0.000366739,0.000366739,0.000366739
12,201.414,2.28877,3.9699,2.27096,1.70039,0,0.06271,0.643,0.14541,0.04962,0.01,0.15764,0.00707,0.00219,2.17253,4.23484,2.50668,2.01607,0,0.000391217,0.000391217,0.000391217
13,217.976,2.24018,3.83275,2.2724,1.66969,0,0.05957,0.60688,0.16159,0.0516,0.00776,0.08088,0.00834,0.0021,2.23918,4.11752,2.50987,1.95396,0,0.000413998,0.000413998,0.000413998
14,234.491,2.15466,3.74023,2.15086,1.67406,0,0.07417,0.54805,0.11491,0.04778,0.00591,0.04044,0.00759,0.00149,2.28019,4.01109,2.48037,1.9176,0,0.000435082,0.000435082,0.000435082
